ABE,Lehigh Valley International Airport
ABI,Abilene Regional Airport
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional Airport
ABY,Southwest Georgia Regional Airport
ACK,Nantucket Memorial Airport
ACT,Waco Regional Airport
ACV,California Redwood Coast-Humboldt County Airport
ACY,Atlantic City International Airport
ADK,Adak Airport
ADQ,Kodiak Airport
AEX,Alexandria International Airport
AGS,Augusta Regional At Bush Field
AKN,King Salmon Airport
ALB,Albany International Airport
ALO,Waterloo Regional Airport
AMA,Rick Husband Amarillo International Airport
ANC,Ted Stevens Anchorage International Airport
APN,Alpena County Regional Airport
ART,Watertown International Airport
ASE,Aspen-Pitkin Co/Sardy Field
ATL,Hartsfield Jackson Atlanta International Airport
ATW,Appleton International Airport
AUS,Austin Bergstrom International Airport
AVL,Asheville Regional Airport
AVP,Wilkes Barre Scranton International Airport
AZA,Phoenix-Mesa-Gateway Airport
AZO,Kalamazoo Battle Creek International Airport
BDL,Bradley International Airport
BET,Bethel Airport
BFF,Western Neb. Rgnl/William B. Heilig Airport
BFL,Meadows Field
BGM,Greater Binghamton/Edwin A Link field
BGR,Bangor International Airport
BHM,Birmingham-Shuttlesworth International Airport
BIL,Billings Logan International Airport
BIS,Bismarck Municipal Airport
BJI,Bemidji Regional Airport
BKG,Branson Airport
BLI,Bellingham International Airport
BLV,Scott AFB/Midamerica Airport
BMI,Central Illinois Regional Airport at Bloomington-Normal
BNA,Nashville International Airport
BOI,Boise Air Terminal/Gowen Field
BOS,General Edward Lawrence Logan International Airport
BPT,Southeast Texas Regional Airport
BQK,Brunswick Golden Isles Airport
BRD,Brainerd Lakes Regional Airport
BRO,Brownsville South Padre Island International Airport
BRW,Wiley Post Will Rogers Memorial Airport
BTM,Bert Mooney Airport
BTR,Baton Rouge Metropolitan Airport
BTV,Burlington International Airport
BUF,Buffalo Niagara International Airport
BUR,Bob Hope Airport
BWI,Baltimore/Washington International Thurgood Marshall Airport
BZN,Gallatin Field
CAE,Columbia Metropolitan Airport
CAK,Akron Canton Regional Airport
CDC,Cedar City Regional Airport
CDV,Merle K (Mudhole) Smith Airport
CEC,Jack Mc Namara Field Airport
CGI,Cape Girardeau Regional Airport
CHA,Lovell Field
CHO,Charlottesville Albemarle Airport
CHS,Charleston Air Force Base-International Airport
CIC,Chico Municipal Airport
CID,The Eastern Iowa Airport
CIU,Chippewa County International Airport
CKB,North Central West Virginia Airport
CLD,Mc Clellan-Palomar Airport
CLE,Cleveland Hopkins International Airport
CLL,Easterwood Field
CLT,Charlotte Douglas International Airport
CMH,John Glenn Columbus International Airport
CMI,University of Illinois Willard Airport
CMX,Houghton County Memorial Airport
CNY,Canyonlands Field
COD,Yellowstone Regional Airport
COS,City of Colorado Springs Municipal Airport
COU,Columbia Regional Airport
CPR,Casper-Natrona County International Airport
CRP,Corpus Christi International Airport
CRW,Yeager Airport
CSG,Columbus Metropolitan Airport
CVG,Cincinnati Northern Kentucky International Airport
CWA,Central Wisconsin Airport
CYS,Cheyenne Regional Jerry Olson Field
DAB,Daytona Beach International Airport
DAL,Dallas Love Field
DAY,James M Cox Dayton International Airport
DBQ,Dubuque Regional Airport
DCA,Ronald Reagan Washington National Airport
DEN,Denver International Airport
DFW,Dallas Fort Worth International Airport
DHN,Dothan Regional Airport
DIK,Dickinson Theodore Roosevelt Regional Airport
DLG,Dillingham Airport
DLH,Duluth International Airport
DRO,Durango La Plata County Airport
DRT,Del Rio International Airport
DSM,Des Moines International Airport
DTW,Detroit Metropolitan Wayne County Airport
DVL,Devils Lake Regional Airport
EAR,Kearney Regional Airport
EAU,Chippewa Valley Regional Airport
ECP,Northwest Florida Beaches International Airport
EFD,Ellington Airport
EGE,Eagle County Regional Airport
EKO,Elko Regional Airport
ELM,Elmira Corning Regional Airport
ELP,El Paso International Airport
ENV,Wendover Airport
ERI,Erie International Tom Ridge Field
ESC,Delta County Airport
EUG,Mahlon Sweet Field
EVV,Evansville Regional Airport
EWN,Coastal Carolina Regional Airport
EWR,Newark Liberty International Airport
EYW,Key West International Airport
FAI,Fairbanks International Airport
FAR,Hector International Airport
FAT,Fresno Yosemite International Airport
FAY,Fayetteville Regional Grannis Field
FCA,Glacier Park International Airport
FLG,Flagstaff Pulliam Airport
FLL,Fort Lauderdale Hollywood International Airport
FLO,Florence Regional Airport
FNL,Northern Colorado Regional Airport
FNT,Bishop International Airport
FOE,Topeka Regional Airport - Forbes Field
FSD,Joe Foss Field Airport
FSM,Fort Smith Regional Airport
FWA,Fort Wayne International Airport
GCC,Gillette Campbell County Airport
GCK,Garden City Regional Airport
GEG,Spokane International Airport
GFK,Grand Forks International Airport
GGG,East Texas Regional Airport
GJT,Grand Junction Regional Airport
GNV,Gainesville Regional Airport
GPT,Gulfport Biloxi International Airport
GRB,Austin Straubel International Airport
GRI,Central Nebraska Regional Airport
GRK,Robert Gray  Army Air Field Airport
GRR,Gerald R. Ford International Airport
GSO,Piedmont Triad International Airport
GSP,Greenville Spartanburg International Airport
GST,Gustavus Airport
GTF,Great Falls International Airport
GTR,Golden Triangle Regional Airport
GUC,Gunnison Crested Butte Regional Airport
HDN,Yampa Valley Airport
HGR,Hagerstown Regional Richard A Henson Field
HHH,Hilton Head Airport
HIB,Range Regional Airport
HLN,Helena Regional Airport
HNL,Daniel K Inouye International Airport
HOB,Lea County Regional Airport
HOU,William P Hobby Airport
HPN,Westchester County Airport
HRL,Valley International Airport
HSV,Huntsville International Carl T Jones Field
HTS,Tri-State/Milton J. Ferguson Field
HVN,Tweed New Haven Airport
HYA,Barnstable Municipal Boardman Polando Field
HYS,Hays Regional Airport
IAD,Washington Dulles International Airport
IAG,Niagara Falls International Airport
IAH,George Bush Intercontinental Houston Airport
ICT,Wichita Eisenhower National Airport
IDA,Idaho Falls Regional Airport
IFP,Laughlin Bullhead International Airport
ILG,New Castle Airport
ILM,Wilmington International Airport
IMT,Ford Airport
IND,Indianapolis International Airport
INL,Falls International Airport
IPL,Imperial County Airport
ISN,Sloulin Field International Airport
ISP,Long Island Mac Arthur Airport
ITH,Ithaca Tompkins Regional Airport
ITO,Hilo International Airport
IYK,Inyokern Airport
JAC,Jackson Hole Airport
JAN,Jackson-Medgar Wiley Evers International Airport
JAX,Jacksonville International Airport
JFK,John F Kennedy International Airport
JLN,Joplin Regional Airport
JMS,Jamestown Regional Airport
JNU,Juneau International Airport
KOA,Ellison Onizuka Kona International At Keahole Airport
KTN,Ketchikan International Airport
LAN,Capital City Airport
LAR,Laramie Regional Airport
LAS,McCarran International Airport
LAW,Lawton Fort Sill Regional Airport
LAX,Los Angeles International Airport
LBB,Lubbock Preston Smith International Airport
LBE,Arnold Palmer Regional Airport
LBF,North Platte Regional Airport Lee Bird Field
LBL,Liberal Mid-America Regional Airport
LCH,Lake Charles Regional Airport
LCK,Rickenbacker International Airport
LEX,Blue Grass Airport
LFT,Lafayette Regional Airport
LGA,La Guardia Airport
LGB,Long Beach /Daugherty Field/ Airport
LIH,Lihue Airport
LIT,Bill & Hillary Clinton National Airport/Adams Field
LMT,Crater Lake-Klamath Regional Airport
LNK,Lincoln Airport
LRD,Laredo International Airport
LSE,La Crosse Municipal Airport
LWB,Greenbrier Valley Airport
LWS,Lewiston Nez Perce County Airport
LYH,Lynchburg Regional Preston Glenn Field
MAF,Midland International Airport
MBS,MBS International Airport
MCI,Kansas City International Airport
MCN,Middle Georgia Regional Airport
MCO,Orlando International Airport
MDT,Harrisburg International Airport
MDW,Chicago Midway International Airport
MEI,Key Field
MEM,Memphis International Airport
MFE,Mc Allen Miller International Airport
MFR,Rogue Valley International Medford Airport
MGM,Montgomery Regional (Dannelly Field) Airport
MHK,Manhattan Regional Airport
MHT,Manchester-Boston Regional Airport
MIA,Miami International Airport
MKE,General Mitchell International Airport
MKG,Muskegon County Airport
MLB,Melbourne International Airport
MLI,Quad City International Airport
MLU,Monroe Regional Airport
MMH,Mammoth Yosemite Airport
MOB,Mobile Regional Airport
MOD,Modesto City Co-Harry Sham Field
MOT,Minot International Airport
MQT,Sawyer International Airport
MRY,Monterey Peninsula Airport
MSN,Dane County Regional Truax Field
MSO,Missoula International Airport
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport
MSY,Louis Armstrong New Orleans International Airport
MTJ,Montrose Regional Airport
MVY,Martha's Vineyard Airport
MWH,Grant County International Airport
MYR,Myrtle Beach International Airport
OAJ,Albert J Ellis Airport
OAK,Metropolitan Oakland International Airport
OGD,Ogden Hinckley Airport
OGG,Kahului Airport
OGS,Ogdensburg International Airport
OKC,Will Rogers World Airport
OMA,Eppley Airfield
OME,Nome Airport
ONT,Ontario International Airport
ORD,Chicago O'Hare International Airport
ORF,Norfolk International Airport
ORH,Worcester Regional Airport
OTH,Southwest Oregon Regional Airport
OTZ,Ralph Wien Memorial Airport
OWB,Owensboro Daviess County Airport
OXR,Oxnard Airport
PAH,Barkley Regional Airport
PBG,Plattsburgh International Airport
PBI,Palm Beach International Airport
PDX,Portland International Airport
PGD,Charlotte County Airport
PGV,Pitt Greenville Airport
PHF,Newport News Williamsburg International Airport
PHL,Philadelphia International Airport
PHX,Phoenix Sky Harbor International Airport
PIA,General Wayne A. Downing Peoria International Airport
PIB,Hattiesburg Laurel Regional Airport
PIE,St Petersburg Clearwater International Airport
PIH,Pocatello Regional Airport
PIR,Pierre Regional Airport
PIT,Pittsburgh International Airport
PLN,Pellston Regional Airport of Emmet County Airport
PNS,Pensacola International Airport
PRC,Prescott Regional Airport - Ernest A. Love Field
PSC,Tri Cities Airport
PSG,Petersburg James A Johnson Airport
PSM,Portsmouth International at Pease Airport
