AQC00914869,AS,TAFUNA AP TUTUILA
AQW00061705,AS,PAGO PAGO WSO AP
CA001026562,BC,QUALICUM BEACH AIRPORT
CA001054920,BC,MASSET AIRPORT
CA001086082,BC,PEMBERTON AIRPORT CS
CA001096453,BC,PRINCE GEORGE AIRPORT AUTO
CA001096631,BC,QUESNEL AIRPORT AUTO
CA001113543,BC,HOPE AIRPORT
CA001176751,BC,REVELSTOKE AIRPORT RD
CA001203315,BC,HAINES APPS NO 2
CA002100627,YT,HAINES APPS #4
CA002203361,NT,GAMETI AIRPORT
CA003024R60,AB,OYEN AIRPORT
CA004020286,SK,ASSINIBOIA AIRPORT
CA00402DAF0,SK,LEADER AIRPORT
CA005062736,MB,SOUTH INDIAN LAKE AIRPORT
CA006048270,ON,THUNDER BAY AIRPORT MAINTAIR
CA006127514,ON,SARNIA AIRPORT
CA006144475,ON,LONDON INT'L AIRPORT
CA006150914,ON,BRAMPTON AIRPORT
CA006156615,ON,PORT CREDIT APPLEWOOD
CA007034482,QC,MANIWAKI AIRPORT
CA007065100,QC,MONT APICA
CA008201601,NS,DIGBY AIRPORT
CA008401705,NL,GANDER AIRPORT CS
CQC00914801,MP,ROTA AP
CQC00914855,MP,SAIPAN INTL AP
FMW00040308,FM,YAP ISLAND WSO AP
FMW00040505,FM,CHUUK WSO AP
GQW00041415,GU,GUAM INTL AP
MQW00022701,UM,MIDWAY HENDERSON FLD AP
RMW00040710,MH,MAJURO WBAS AP
RQ1PRHM0002,PR,FINCA APONTE
RQC00666083,PR,MAYAGUEZ AP
RQC00667297,PR,PONCE MERCEDITA AP
RQC00668811,PR,SAN JUAN WB AP
RQW00011603,PR,BORINQUEN AP
RQW00011641,PR,SAN JUAN L M MARIN AP
US1CODN0006,CO,DENVER WSFO AP
US1COEP0023,CO,COLORADO SPRINGS AIRPORT (MSWS
US1COLA0037,CO,TRINIDAD AIRPORT
US1COLN0031,CO,LIMON AIRPORT
US1COOT0019,CO,LA JUNTA AIRPORT MSWS
US1COPU0037,CO,PUEBLO AIRPORT
US1COPW0011,CO,LAMAR AIRPORT MSWS
US1PAAR0002,PA,NORTH APOLLO 0.0 E
US1WYAB0007,WY,LARAMIE AIRPORT
US1WYCR0003,WY,RAWLINS AIRPORT
US1WYGS0005,WY,TORRINGTON AIRPORT
US1WYLM0011,WY,CHEYENNE AIRPORT
USC00016436,AL,PINE APPLE
USC00026482,AZ,PHOENIX AP ASOS BACKUP
USC00027477,AZ,SAN CARLOS AP
USC00027718,AZ,SELIGMAN AP
USC00027855,AZ,SHOW LOW AP
USC00029007,AZ,VALLE AP
USC00041960,CA,CONCORD AP
USC00044558,CA,KING CITY AP
USC00046826,CA,PETALUMA AP
USC00048832,CA,TEHACHAPI AP
USC00049040,CA,TRUCKEE-TAHOE AP
USC00051777,CO,COLORADO SPRINGS AP SNOW
USC00052212,CO,DENVER INTL AP 2SW
USC00080211,FL,APALACHICOLA AP
USC00081649,FL,CLEWISTON AP
USC00084095,FL,HOMESTEAD GEN AVIATION AP
USC00088756,FL,TALLAHASSEE AP
USC00108076,ID,SALMON AP
USC00108535,ID,SODA SPRINGS AP
USC00111577,IL,CHICAGO MIDWAY AP 3SW
USC00112470,IL,DUPAGE AP
USC00116703,IL,PEORIA AIRPORT 2NE
USC00121719,IN,COLLEGEVILLE ST JOE AP
USC00124168,IN,HUNTINGBURG AP
USC00125607,IN,MICHIGAN CY PHILIPS AP
USC00127357,IN,RICHMOND AIRPORT
USC00129678,IN,WINCHESTER AIRPORT 3 E
USC00132359,IA,DUBUQUE AP
USC00166657,LA,NEW IBERIA AP - ACADIANA RGNL
USC00166661,LA,NEW ORLEANS AP
USC00167001,LA,OPELOUSAS AP
USC00200710,MI,BENTON HARBOR AP
USC00204959,MI,LUDINGTON AP
USC00206442,MI,PELLSTON AP #2
USC00208252,MI,TRAVERSE CITY AP #2
USC00217011,MN,ROCHESTER AP 2NE
USC00230887,MO,BRANSON AP
USC00235207,MO,MALDEN MUNI AP
USC00242511,MT,DRUMMOND FAA AP
USC00244558,MT,KALISPELL GLACIER AP
USC00247501,MT,SHELBY AP
USC00251245,NE,BRUNING STATE AP
USC00263515,NV,HAWTHORNE AP
USC00272846,NH,ERROL AP
USC00273488,NH,GORHAM AP
USC00291138,NM,BOSQUE DEL APACHE
USC00293682,NM,GRANTS AP
USC00298127,NM,SANTA TERESA AP
USC00303508,NY,GRIFFISS INTERNATIONAL AIRPORT
USC00307338,NY,RYE LAKE AIRPORT
USC00317081,NC,RALEIGH MUNI AP
USC00329426,ND,WILLISTON AP
USC00366880,PA,PHILA AP SNOW
USC00369982,PA,ZERBEY AP
USC00383470,SC,GEORGETOWN CO AP
USC00383742,SC,GREENVILLE WB AP
USC00397666,SD,SIOUX FALLS WFO AP
USC00408242,TN,SHELBYVILLE MUNI AP
USC00409493,TN,WAVERLY AP
USC00410058,TX,ADDISON AIRPORT
USC00415589,TX,MARFA CAA AP
USC00415590,TX,MARFA AP
USC00415766,TX,MCKINNEY MUNI AP
USC00419129,TX,TRI CITY AP
USC00419367,TX,VICTORIA RGNL AP
USC00422252,UT,DUCHESNE AP
USC00427061,UT,PROVO AP
USC00434122,VT,ISLAND POND AP
USC00451650,WA,COLVILLE AP
USC00452066,WA,DEER PARK AP
USC00472412,WI,EAST TROY AP
USC00502457,AK,DILLINGHAM FAA AP
USC00502965,AK,FAIRBANKS AP #2
USC00506093,AK,MT MCKINLEY NP AP
USC00508107,AK,ST MARYS AP
USC00508550,AK,SLANA AP
USC00509685,AK,VALDEZ AIRPORT
USC00509919,AK,WRANGELL AP
USC00511125,HI,HANA AP 355
USC00512307,HI,KAANAPALI AP 453.1
USC00512317,HI,KAANAPALI AP 453.1
USC00513078,HI,KAMUELA AP 191
USC00513317,HI,KAPALUA-W MAUI AP 462.4
USC00514764,HI,KONA AP 68.3
USC00515150,HI,LAE APUKI 67.12
USC00515275,HI,LANAI AP 656
USC00518108,HI,PORT ALLEN AP 926.10
USC00518161,HI,PRINCEVILLE AP 1117.9
USC00518816,HI,UPOLU AP 160.3
USC00518828,HI,UPOLU POINT AP 16
USP00CA0003,CA,SACRAMENTO AP ASOS
USR0000AFOR,AZ,FORT APACHE RX#1 ARIZONA
USR0000CREA,CA,REDDING AIRPORT CALIFORNIA
USR0000CWEE,CA,WEED AIRPORT CALIFORNIA
USR0000KJAC,KY,JACKSON CO. AP KENTUCKY
USR0000MTHO,MT,THOMPSON FALLS AP MONTANA
USR0000OILL,OR,ILLINOIS VALLEY AIRPORT OREGON
USW00003013,CO,LAMAR MUNI AP
USW00003016,CO,RIFLE GARFIELD CO AP
USW00003017,CO,DENVER INTL AP
USW00003024,TX,BORGER HUTCHINSON CO AP
USW00003026,CO,BURLINGTON CARSON AP
USW00003029,AZ,WINDOW ROCK AP
USW00003030,OK,GUYMON MUNI AP
USW00003032,TX,DRYDEN TERRELL CO AP
USW00003102,CA,ONTARIO INTL AP
USW00003103,AZ,FLAGSTAFF PULLIAM AP
USW00003104,CA,DESERT RESORTS RGNL AP
USW00003122,CA,TORRANCE AP
USW00003144,CA,IMPERIAL CO AP
USW00003160,NV,MERCURY DESERT ROCK AP
USW00003162,AZ,PAGE MUNI AP
USW00003166,CA,FULLERTON MUNI AP
USW00003167,CA,HAWTHORNE MUNI AP
USW00003170,NV,EUREKA AIRPORT
USW00003171,CA,RIVERSIDE MUNI AP
USW00003177,CA,CARLSBAD PALOMAR AP
USW00003179,CA,CHINO AP
USW00003184,AZ,PHOENIX DEER VALLEY MUNI AP
USW00003192,AZ,SCOTTSDALE MUNI AP
USW00003195,AZ,GRAND CANYON NP AP
USW00003196,AZ,NOGALES INTL AP
USW00003802,WV,CLARKSBURG BENEDUM AP
USW00003804,WV,PARKERSBURG WOOD CO AP
USW00003810,NC,HICKORY FAA AP
USW00003811,TN,JACKSON MCKELLAR AP
USW00003812,NC,ASHEVILLE RGNL AP
USW00003813,GA,MACON MIDDLE GA RGNL AP
USW00003814,KY,CORBIN CAA AP
USW00003817,MO,MALDEN FAA AP
USW00003818,FL,MARIANNA MUNI AP
USW00003820,GA,AUGUSTA BUSH FLD AP
USW00003822,GA,SAVANNAH INTL AP
USW00003838,IL,VANDALIA FAA AP
